 1992.9595  -0.07
 1992.9866  -5.76
 1993.0138  -9.35
 1993.0409  -1.31
 1993.0680  -3.53
 1993.0952  -3.94
 1993.1223  -8.42
 1993.1495  -1.44
 1993.1766   0.14
 1993.2037  -0.57
 1993.2310  -4.88
 1993.2853  -4.67
 1993.3124  -3.39
 1993.3395  -1.28
 1993.3667  -2.86
 1993.3938   0.51
 1993.4210  -2.73
 1993.4481  -5.39
 1993.4752  -4.58
 1993.5024  -6.23
 1993.5295  -3.72
 1993.5839  -0.67
 1993.6110  -3.16
 1993.6382  -1.49
 1993.6653  -2.34
 1993.6925  -1.65
 1993.7196  -0.59
 1993.7467  -5.93
 1993.7739  -2.20
 1993.8010  -4.82
 1993.8553  -8.06
 1993.8824  -7.92
 1993.9097  -3.57
 1993.9368  -5.86
 1993.9640  -5.52
 1993.9911  -8.63
 1994.0182  -4.31
 1994.0454  -5.35
 1994.0725 -13.63
 1994.0997  -2.22
 1994.1268   0.69
 1994.1539   2.01
 1994.1812  -5.14
 1994.2355  -5.79
 1994.2626 -13.55
 1994.2897  -2.75
 1994.3169  -1.36
 1994.3440  -1.32
 1994.3712  -2.08
 1994.3983   2.47
 1994.4254  -5.10
 1994.4526  -2.64
 1994.5070  -2.98
 1994.5341   0.28
 1994.5612  -4.33
 1994.5884  -3.04
 1994.6155  -5.33
 1994.6427  -2.77
 1994.6698  -1.05
 1994.6969  -2.87
 1994.7241  -8.03
 1994.7512  -2.81
 1994.7784  -4.70
 1994.8055  -8.13
 1994.8326  -5.22
 1994.8870  -5.18
 1994.9141   3.27
 1994.9413  -5.82
 1994.9684  -0.16
 1994.9956  -2.77
 1995.0227  -1.81
 1995.0498  -4.87
 1995.0770  -8.46
 1995.1041   0.65
 1995.1313   2.72
 1995.1584   0.79
 1995.2128  -3.33
 1995.2399  -6.22
 1995.2671  -1.91
 1995.2942  -4.98
 1995.3213  -6.22
 1995.3756  -4.82
 1995.4028  -4.94
 1995.4299  -3.22
 1995.4570   0.43
 1995.4843  -0.64
 1995.5386  -5.82
 1995.5657  -4.89
 1995.5928  -6.16
 1995.6200  -4.38
 1995.6471  -6.69
 1995.6743  -3.87
 1995.7014  -3.63
 1995.7285  -5.21
 1995.7557  -2.34
 1995.7828  -3.73
 1995.8372  -2.92
 1995.8643   5.54
 1995.8915   5.99
 1995.9458   4.09
 1995.9729   6.64
 1996.0000  10.45
 1996.0272   3.13
 1996.0543   1.03
 1996.0815   5.30
 1996.1086  -8.88
 1996.1630   1.06
 1996.1901   3.05
 1996.2173  -2.17
 1996.2444   3.49
 1996.2715  -6.73
 1996.2987  -1.77
 1996.3258   1.32
 1996.3530   2.24
 1996.3801   2.77
 1996.4072  -1.95
 1996.4344  -2.72
 1996.4888  -5.08
 1996.5159  -3.51
 1996.5430  -1.44
 1996.5702  -1.77
 1996.5973  -3.00
 1996.6245   0.83
 1996.6516  -5.24
 1996.6787  -4.10
 1996.7059  -0.66
 1996.7330  -9.66
 1996.7603  -7.58
 1996.8145  -3.85
 1996.8417  -4.90
 1996.8688   3.85
 1996.8960  -0.55
 1996.9231   1.41
 1996.9502  -2.36
 1996.9774   3.40
 1997.0045   6.06
 1997.0316   3.13
 1997.0588   4.66
 1997.0859  -4.00
 1997.1403  -2.35
 1997.1674  -2.04
 1997.1946  -2.78
 1997.2217  -2.75
 1997.2489  -5.52
 1997.2760  -4.44
 1997.3031  -1.56
 1997.3303   1.90
 1997.3574   2.32
 1997.3846   4.40
 1997.4117   3.82
 1997.4661   2.70
 1997.4932  -0.92
 1997.5204  -7.70
 1997.5475  -1.95
 1997.5746  -4.22
 1997.6289  -3.48
 1997.6561  -0.64
 1997.6832  -2.30
 1997.7103  -2.02
 1997.7375  -3.95
 1997.7919  -3.06
 1997.8190   4.78
 1997.8461   4.42
 1997.8733   1.34
 1997.9004  -6.39
 1997.9276  -0.94
 1997.9547   2.27
 1997.9818   4.77
 1998.0090  -3.38
 1998.0361   0.70
 1998.0905   5.71
 1998.1176   3.23
 1998.1448  -0.00
 1998.1719   1.13
 1998.1991   0.92
 1998.2262   4.65
 1998.2533   7.61
 1998.2805   3.45
 1998.3076   5.58
 1998.3348   1.37
 1998.3619   5.89
 1998.4163   4.43
 1998.4434   0.70
 1998.4706   0.41
 1998.4977  -1.42
 1998.5248   3.36
 1998.5520   4.06
 1998.6063   3.45
 1998.6334  -0.81
 1998.6605   5.30
 1998.6877   0.27
 1998.7148   5.82
 1998.7421   3.32
 1998.7692   2.74
 1998.8235   0.17
 1998.8506   8.22
 1998.8778   6.80
 1998.9049   3.78
 1998.9320   2.25
 1998.9592   1.76
 1998.9863   7.44
 1999.0135  10.74
 1999.0406   9.83
 1999.0950   3.56
 1999.1221   2.81
 1999.1493   0.93
 1999.1764   2.11
 1999.2035   3.40
 1999.2307   3.21
 1999.2578   2.87
 1999.2849   3.83
 1999.3392   5.56
 1999.3665  -0.23
 1999.3936  -0.04
 1999.4207   4.74
 1999.4479  -1.66
 1999.4750  -3.98
 1999.5022  -1.99
 1999.5293   0.59
 1999.5564   0.49
 1999.5836   3.30
 1999.6107   1.61
 1999.6379   3.68
 1999.6921   0.25
 1999.7194  -3.33
 1999.7465   0.66
 1999.7737  -5.47
 1999.8008   2.23
 1999.8279   0.02
 1999.8551  -2.23
 1999.8822  -3.88
 1999.9094  -6.24
 1999.9636  -6.75
 1999.9908  -8.97
 2000.0179  -0.30
 2000.0452   1.79
 2000.0723  -1.85
 2000.0994   2.67
 2000.1266   3.46
 2000.1537   2.00
 2000.1809   1.13
